okres_id;okres_full;rok;3 roky;4 roky;5 rokov;6 rokov;spolu_3-6 rokov
101;Okres Bratislava I;2000;335;344;374;411;1464
101;Okres Bratislava I;2001;299;312;319;324;1254
101;Okres Bratislava I;2002;280;300;307;315;1202
101;Okres Bratislava I;2003;282;276;293;303;1154
101;Okres Bratislava I;2004;281;274;273;285;1113
101;Okres Bratislava I;2005;287;276;266;266;1095
101;Okres Bratislava I;2006;303;280;267;259;1109
101;Okres Bratislava I;2007;338;294;278;261;1171
101;Okres Bratislava I;2008;365;334;290;275;1264
101;Okres Bratislava I;2009;362;360;328;283;1333
101;Okres Bratislava I;2010;385;359;357;326;1427
101;Okres Bratislava I;2011;403;376,5;345,5;332;1457
101;Okres Bratislava I;2012;412,5;402,5;380,5;349;1544,5
101;Okres Bratislava I;2013;424;414,5;403,5;378,5;1620,5
101;Okres Bratislava I;2014;452,5;426,5;418,5;399;1696,5
101;Okres Bratislava I;2015;463,5;452,5;435,5;420;1771,5
101;Okres Bratislava I;2016;455;466;462,5;439,5;1823
101;Okres Bratislava I;2017;456,5;454;475;470;1855,5
101;Okres Bratislava I;2018;460,5;453,5;461,5;487;1862,5
101;Okres Bratislava I;2019;478;471,5;464;484,5;1898
101;Okres Bratislava I;2020;519,5;486;487,5;492,5;1985,5
101;Okres Bratislava I;2021;527,5;519,5;496,5;522;2065,5
102;Okres Bratislava II;2000;888;921;995;1102;3906
102;Okres Bratislava II;2001;749;796;875;951;3371
102;Okres Bratislava II;2002;741;743;798;879;3161
102;Okres Bratislava II;2003;770;745;741;793;3049
102;Okres Bratislava II;2004;846;771;736;736;3089
102;Okres Bratislava II;2005;865;843;770;736;3214
102;Okres Bratislava II;2006;881;877;852;776;3386
102;Okres Bratislava II;2007;945;890;884;855;3574
102;Okres Bratislava II;2008;1018;939;884;878;3719
102;Okres Bratislava II;2009;1070;1002;920;880;3872
102;Okres Bratislava II;2010;1101;1052;985;909;4047
102;Okres Bratislava II;2011;1119,5;1038;973,5;931;4062
102;Okres Bratislava II;2012;1196,5;1104,5;1023,5;966;4290,5
102;Okres Bratislava II;2013;1288,5;1179,5;1093,5;1014;4575,5
102;Okres Bratislava II;2014;1395,5;1266,5;1169,5;1089;4920,5
102;Okres Bratislava II;2015;1390,5;1370,5;1261;1160;5182
102;Okres Bratislava II;2016;1341,5;1361,5;1361,5;1236;5300,5
102;Okres Bratislava II;2017;1353;1320,5;1347,5;1331,5;5352,5
102;Okres Bratislava II;2018;1395,5;1339;1304;1318,5;5357
102;Okres Bratislava II;2019;1449;1367,5;1315;1280,5;5412
102;Okres Bratislava II;2020;1484;1414,5;1349;1294;5541,5
102;Okres Bratislava II;2021;1501;1443,5;1388,5;1321;5654
103;Okres Bratislava III;2000;470;491;492;534;1987
103;Okres Bratislava III;2001;406;399;444;490;1739
103;Okres Bratislava III;2002;421;404;404;443;1672
103;Okres Bratislava III;2003;426;421;405;405;1657
103;Okres Bratislava III;2004;421;429;417;410;1677
103;Okres Bratislava III;2005;437;426;429;420;1712
103;Okres Bratislava III;2006;467;436;426;434;1763
103;Okres Bratislava III;2007;496;468;433;428;1825
103;Okres Bratislava III;2008;541;499;476;435;1951
103;Okres Bratislava III;2009;590;545;508;477;2120
103;Okres Bratislava III;2010;636;597;546;506;2285
103;Okres Bratislava III;2011;623,5;602,5;566;525,5;2317,5
103;Okres Bratislava III;2012;690;631,5;600;568;2489,5
103;Okres Bratislava III;2013;741;688;628;607,5;2664,5
103;Okres Bratislava III;2014;775;732,5;677;637,5;2822
103;Okres Bratislava III;2015;779;772;718;684,5;2953,5
103;Okres Bratislava III;2016;771;781,5;765,5;725;3043
103;Okres Bratislava III;2017;814,5;779,5;777;775,5;3146,5
103;Okres Bratislava III;2018;891,5;814,5;778;782,5;3266,5
103;Okres Bratislava III;2019;947;879;810,5;774;3410,5
103;Okres Bratislava III;2020;951;940;872,5;812;3575,5
103;Okres Bratislava III;2021;974,5;945,5;946,5;896,5;3763
104;Okres Bratislava IV;2000;857;956;1062;1178;4053
104;Okres Bratislava IV;2001;757;801;914;981;3453
104;Okres Bratislava IV;2002;745;752;796;906;3199
104;Okres Bratislava IV;2003;748;749;747;789;3033
104;Okres Bratislava IV;2004;754;750;743;741;2988
104;Okres Bratislava IV;2005;767;754;747;742;3010
104;Okres Bratislava IV;2006;797;765;758;750;3070
104;Okres Bratislava IV;2007;797;791;767;754;3109
104;Okres Bratislava IV;2008;850;791;791;761;3193
104;Okres Bratislava IV;2009;940;838;797;787;3362
104;Okres Bratislava IV;2010;938;927;846;798;3509
104;Okres Bratislava IV;2011;949;894;880;818;3541
104;Okres Bratislava IV;2012;1023,5;940;888;876;3727,5
104;Okres Bratislava IV;2013;1063;1018,5;928,5;878,5;3888,5
104;Okres Bratislava IV;2014;1098;1063,5;1008,5;915,5;4085,5
104;Okres Bratislava IV;2015;1132,5;1083,5;1064,5;993;4273,5
104;Okres Bratislava IV;2016;1120;1111;1087;1056;4374
104;Okres Bratislava IV;2017;1122,5;1113;1107,5;1081,5;4424,5
104;Okres Bratislava IV;2018;1171;1118;1101,5;1103,5;4494
104;Okres Bratislava IV;2019;1176;1154;1106,5;1084,5;4521
104;Okres Bratislava IV;2020;1165,5;1158;1149;1084;4556,5
104;Okres Bratislava IV;2021;1214;1178;1161,5;1151;4704,5
105;Okres Bratislava V;2000;806;822;876;954;3458
105;Okres Bratislava V;2001;698;751;784;831;3064
105;Okres Bratislava V;2002;696;688;748;771;2903
105;Okres Bratislava V;2003;725;672;689;736;2822
105;Okres Bratislava V;2004;742;702;669;682;2795
105;Okres Bratislava V;2005;761;723;694;666;2844
105;Okres Bratislava V;2006;821;740;709;691;2961
105;Okres Bratislava V;2007;875;801;724;708;3108
105;Okres Bratislava V;2008;912;849;781;721;3263
105;Okres Bratislava V;2009;966;892;830;772;3460
105;Okres Bratislava V;2010;1011;946;878;816;3651
105;Okres Bratislava V;2011;1040;946;885;814,5;3685,5
105;Okres Bratislava V;2012;1140,5;1018;928,5;874;3961
105;Okres Bratislava V;2013;1231;1123,5;995;922,5;4272
105;Okres Bratislava V;2014;1359;1216;1108,5;970;4653,5
105;Okres Bratislava V;2015;1379,5;1342;1193;1074;4988,5
105;Okres Bratislava V;2016;1292,5;1353;1304,5;1165,5;5115,5
105;Okres Bratislava V;2017;1341;1267;1325,5;1267,5;5201
105;Okres Bratislava V;2018;1386;1316,5;1247,5;1288;5238
105;Okres Bratislava V;2019;1438,5;1375,5;1299,5;1230;5343,5
105;Okres Bratislava V;2020;1490;1422,5;1354;1289;5555,5
105;Okres Bratislava V;2021;1462;1451,5;1411;1372;5696,5
106;Okres Malacky;2000;638;678;714;765;2795
106;Okres Malacky;2001;661;658;698;740;2757
106;Okres Malacky;2002;648;673;666;708;2695
106;Okres Malacky;2003;607;658;681;673;2619
106;Okres Malacky;2004;610;615;663;682;2570
106;Okres Malacky;2005;588;616;618;667;2489
106;Okres Malacky;2006;596;595;619;623;2433
106;Okres Malacky;2007;662;606;600;621;2489
106;Okres Malacky;2008;698;672;615;605;2590
106;Okres Malacky;2009;688;708;685;623;2704
106;Okres Malacky;2010;711;696;720;696;2823
106;Okres Malacky;2011;743,5;682,5;672;702,5;2800,5
106;Okres Malacky;2012;811,5;761;689,5;675,5;2937,5
106;Okres Malacky;2013;846,5;827,5;772;702;3148
106;Okres Malacky;2014;890;857,5;847;785,5;3380
106;Okres Malacky;2015;886;898;875;861;3520
106;Okres Malacky;2016;854;902;913;885,5;3554,5
106;Okres Malacky;2017;883;873;916,5;925;3597,5
106;Okres Malacky;2018;929;899;886,5;938,5;3653
106;Okres Malacky;2019;1002,5;943,5;914;903,5;3763,5
106;Okres Malacky;2020;991;1013,5;955,5;920;3880
106;Okres Malacky;2021;972;1026,5;1054;977,5;4030
107;Okres Pezinok;2000;576;582;573;651;2382
107;Okres Pezinok;2001;527;580;587;581;2275
107;Okres Pezinok;2002;493;534;580;590;2197
107;Okres Pezinok;2003;463;498;538;577;2076
107;Okres Pezinok;2004;464;467;504;534;1969
107;Okres Pezinok;2005;468;469;477;508;1922
107;Okres Pezinok;2006;503;469;476;483;1931
107;Okres Pezinok;2007;551;508;473;482;2014
107;Okres Pezinok;2008;590;562;519;479;2150
107;Okres Pezinok;2009;617;603;571;527;2318
107;Okres Pezinok;2010;648;635;612;582;2477
107;Okres Pezinok;2011;692,5;639;615;600;2546,5
107;Okres Pezinok;2012;738,5;703,5;640;620,5;2702,5
107;Okres Pezinok;2013;755;754;705;649,5;2863,5
107;Okres Pezinok;2014;762,5;783;760;712;3017,5
107;Okres Pezinok;2015;803,5;784,5;793;766,5;3147,5
107;Okres Pezinok;2016;786,5;820,5;797,5;803;3207,5
107;Okres Pezinok;2017;792,5;802,5;831;802,5;3228,5
107;Okres Pezinok;2018;863,5;813;815;833,5;3325
107;Okres Pezinok;2019;863;884;832,5;829,5;3409
107;Okres Pezinok;2020;885;870,5;898,5;850,5;3504,5
107;Okres Pezinok;2021;937;897,5;885;924,5;3644
108;Okres Senec;2000;448;485;526;577;2036
108;Okres Senec;2001;468;473;519;554;2014
108;Okres Senec;2002;465;482;486;533;1966
108;Okres Senec;2003;478;478;497;503;1956
108;Okres Senec;2004;489;489;492;507;1977
108;Okres Senec;2005;465;506;504;505;1980
108;Okres Senec;2006;525;493;526;521;2065
108;Okres Senec;2007;655;559;517;554;2285
108;Okres Senec;2008;729;697;587;547;2560
108;Okres Senec;2009;756;772;732;607;2867
108;Okres Senec;2010;842;800;820;755;3217
108;Okres Senec;2011;906,5;862,5;841,5;827;3437,5
108;Okres Senec;2012;982;955;899;862,5;3698,5
108;Okres Senec;2013;1066;1020;988;926,5;4000,5
108;Okres Senec;2014;1139,5;1104,5;1056,5;1023;4323,5
108;Okres Senec;2015;1208,5;1203;1143,5;1098,5;4653,5
108;Okres Senec;2016;1249,5;1285,5;1241;1185,5;4961,5
108;Okres Senec;2017;1281,5;1312,5;1322;1286;5202
108;Okres Senec;2018;1347;1335,5;1349,5;1372,5;5404,5
108;Okres Senec;2019;1457,5;1404,5;1378,5;1406,5;5647
108;Okres Senec;2020;1600,5;1514;1447,5;1425,5;5987,5
108;Okres Senec;2021;1651,5;1666,5;1577;1515,5;6410,5
201;Okres Dunajská Streda;2000;1130;1166;1233;1326;4855
201;Okres Dunajská Streda;2001;1131;1147;1177;1229;4684
201;Okres Dunajská Streda;2002;1107;1137;1150;1183;4577
201;Okres Dunajská Streda;2003;1075;1115;1143;1157;4490
201;Okres Dunajská Streda;2004;1029;1081;1120;1149;4379
201;Okres Dunajská Streda;2005;1002;1034;1084;1124;4244
201;Okres Dunajská Streda;2006;982;1008;1038;1085;4113
201;Okres Dunajská Streda;2007;1014;989;1013;1041;4057
